LOCATION,CNAME,GDP_VALUE_2016,HAP_VALUE_2015,HAP_VALUE_2016,UNEMP_VALUE_2016,POV_VALUE_2014,POV_VALUE_2015
AUS,Australia,48829.028,7.284,7.313,5.723,0.128,-1.0
AUT,Austria,50923.693,7.2,7.119,5.744,0.09,0.087
BEL,Belgium,46784.979,6.937,6.929,7.138,0.091,0.098
CAN,Canada,44562.274,7.427,7.404,6.867,0.126,0.142
CZE,Czech Republic,34714.435,6.505,6.596,3.634,0.059,0.064
DNK,Denmark,49833.313,7.527,7.526,6.373,0.055,0.055
FIN,Finland,43446.124,7.406,7.413,8.741,0.068,0.063
FRA,France,41357.835,6.575,6.478,9.997,0.081,0.081
DEU,Germany,49187.306,6.75,6.994,3.881,0.095,0.101
GRC,Greece,27116.554,4.857,5.033,23.144,0.148,0.149
HUN,Hungary,26741.362,4.8,5.145,4.571,0.101,-1.0
ISL,Iceland,51782.788,7.561,7.501,2.73,0.065,-1.0
IRL,Ireland,70879.956,6.94,6.907,7.611,0.092,0.098
ITA,Italy,38581.077,5.948,5.977,11.78,0.137,0.144
JPN,Japan,42292.681,5.987,5.921,3.067,-1.0,-1.0
KOR,South Korea,36629.655,5.984,5.835,3.633,0.144,0.138
LUX,Luxembourg,102593.509,6.946,6.871,5.898,-1.0,0.109
MEX,Mexico,18550.931,7.187,6.778,3.647,0.167,-1.0
NLD,Netherlands,50961.236,7.378,7.339,5.526,0.078,0.078
NZL,New Zealand,39241.026,7.286,7.334,5.3,0.109,-1.0
NOR,Norway,58834.461,7.522,7.498,4.53,0.081,0.081
POL,Poland,27093.683,5.791,5.835,5.616,0.104,0.111
PRT,Portugal,30821.511,5.102,5.123,10.332,0.135,0.126
SVK,Slovakia,30487.385,5.995,6.078,9.0,0.087,0.084
ESP,Spain,36338.997,6.329,6.361,18.66,0.153,0.153
SWE,Sweden,48690.146,7.364,7.291,6.892,0.09,0.092
CHE,Switzerland,64025.877,7.587,7.509,4.822,0.099,0.091
TUR,Turkey,25655.472,5.332,5.389,11.771,0.173,0.172
GBR,United Kingdom,42757.049,6.867,6.725,4.644,0.105,0.109
USA,United States,57797.462,7.119,7.104,4.733,0.175,0.168
CHL,Chile,23003.911,6.67,6.705,6.534,-1.0,0.161
CHN,China,15477.981,5.14,5.245,-1.0,-1.0,-1.0
COL,Colombia,14149.938,6.477,6.481,9.169,-1.0,-1.0
EST,Estonia,30564.57,5.429,5.517,6.695,0.155,0.161
IND,India,6730.581,4.565,4.404,-1.0,-1.0,-1.0
IDN,Indonesia,11720.227,5.399,5.314,-1.0,-1.0,-1.0
ISR,Israel,37460.904,7.278,7.267,4.438,0.186,0.195
RUS,Russia,24788.68,5.716,5.856,5.356,-1.0,-1.0
SVN,Slovenia,32729.606,5.848,5.768,8.049,0.094,0.092
ZAF,South Africa,13334.987,4.642,4.459,27.301,-1.0,0.266
LVA,Latvia,25703.958,5.098,5.56,9.294,0.162,0.162
BRA,Brazil,15224.547,6.983,6.952,-1.0,-1.0,-1.0
LTU,Lithuania,30002.211,5.833,5.813,7.684,0.157,0.165
SAU,Saudi Arabia,54304.32,6.411,6.379,-1.0,-1.0,-1.0
ARG,Argentina,20382.38,6.574,6.65,-1.0,-1.0,-1.0
CRI,Costa Rica,16381.383,7.226,7.087,-1.0,0.215,0.206
BGR,Bulgaria,19242.661,4.218,4.217,-1.0,-1.0,-1.0
HRV,Croatia,23859.839,5.759,5.488,-1.0,-1.0,-1.0
CYP,Cyprus,33371.523,5.689,5.546,-1.0,-1.0,-1.0
MLT,Malta,37873.314,6.302,6.488,-1.0,-1.0,-1.0
ROU,Romania,23129.569,5.124,5.528,-1.0,-1.0,-1.0
MKD,Macedonia,14692.392,5.007,5.121,-1.0,-1.0,-1.0
