LOCATION,WORKINGHOURS_15,HAP_15,WORKINGHOURS_16,HAP_16,WORKINGHOURS_17,HAP_17
Australia,1682.90002441406,7.284,1672.1999511718698,7.313,1675.90002441406,7.28399991989136
Austria,1598.9,7.2,1609.4,7.119,1613.09999999999,7.00600004196167
Belgium,1545.0,6.937,1546.0,6.928999999999999,,
Canada,1711.0,7.4270000000000005,1706.0,7.404,1695.0,7.31599998474121
Czech Republic,1756.0,6.505,1778.0,6.596,1776.0,6.60900020599365
Denmark,1407.0,7.527,1414.0,7.526,1408.0,7.52199983596802
Finland,1637.0,7.406000000000001,1635.0,7.412999999999999,1628.0,7.468999862670901
France,1509.43,6.575,1502.73,6.478,1514.0,6.44199991226196
Germany,1367.8,6.75,1363.4,6.994,1356.0,6.9510002136230495
Greece,2031.0,4.857,2030.0,5.033,2018.0,5.2270002365112305
Hungary,1748.9,4.8,1759.4,5.145,1740.4,5.32399988174438
Ireland,1741.0,6.94,1739.0,6.907,1738.0,6.9770002365112305
Italy,1718.0,5.9479999999999995,1724.42,5.977,1722.60999999999,5.96400022506714
Japan,1719.0,5.987,1714.0,5.921,1710.0,5.92000007629395
Luxembourg,1521.0,6.946000000000001,1519.0,6.871,1518.0,6.86299991607666
Mexico,2248.3,7.187,2254.59999999999,6.778,2257.4,6.57800006866455
Netherlands,1424.0,7.377999999999999,1437.0,7.3389999999999995,1433.0,7.3769998550415
New Zealand,1757.0,7.2860000000000005,1752.0,7.334,1753.0,7.31400012969971
Norway,1423.9,7.522,1424.4,7.497999999999999,1419.09999999999,7.537000179290769
Poland,1963.0,5.791,1928.0,5.835,1895.0,5.97300004959106
Portugal,1875.0,5.102,1865.0,5.122999999999999,1863.0,5.19500017166138
Spain,1699.5,6.329,1701.4,6.361000000000001,1686.5,6.40299987792969
Sweden,1610.0,7.364,1626.0,7.291,1609.0,7.28399991989136
Switzerland,1589.0,7.587000000000001,1590.0,7.5089999999999995,1570.0,7.49399995803833
United Kingdom,1673.0,6.867000000000001,1670.0,6.725,1681.0,6.71400022506714
United States,1785.0,7.119,1781.0,7.104,1780.0,6.993000030517581
Israel,1858.0,7.278,1889.0,7.267,1885.0,7.212999820709231
Chile,1988.0,6.67,1974.0,6.705,1954.0,6.65199995040894
Slovenia,1687.9,5.848,1666.9,5.768,1655.09999999999,5.75799989700317
Estonia,1852.0,5.428999999999999,1855.0,5.517,1857.0,5.61100006103516
Russia,1978.0,5.716,1974.0,5.856,1980.0,5.962999820709231
Lithuania,1860.0,5.832999999999999,1885.0,5.813,1844.0,5.90199995040894
Latvia,1902.0,5.098,1902.0,5.56,1875.0,5.849999904632571
Costa Rica,2148.17999999999,7.226,2204.65,7.087000000000001,2178.92,7.0789999961853
