,LOCATION,WORKINGHOURS_16,HAP_16
0,Australia,1672.1999511718698,7.313
1,Austria,1609.4,7.119
2,Belgium,1546.0,6.928999999999999
3,Canada,1706.0,7.404
4,Czech Republic,1778.0,6.596
5,Denmark,1414.0,7.526
6,Finland,1635.0,7.412999999999999
7,France,1502.73,6.478
8,Germany,1363.4,6.994
9,Greece,2030.0,5.033
10,Hungary,1759.4,5.145
11,Ireland,1739.0,6.907
12,Italy,1724.42,5.977
13,Japan,1714.0,5.921
14,Luxembourg,1519.0,6.871
15,Mexico,2254.59999999999,6.778
16,Netherlands,1437.0,7.3389999999999995
17,New Zealand,1752.0,7.334
18,Norway,1424.4,7.497999999999999
19,Poland,1928.0,5.835
20,Portugal,1865.0,5.122999999999999
21,Spain,1701.4,6.361000000000001
22,Sweden,1626.0,7.291
23,Switzerland,1590.0,7.5089999999999995
24,United Kingdom,1670.0,6.725
25,United States,1781.0,7.104
26,Israel,1889.0,7.267
27,Chile,1974.0,6.705
28,Slovenia,1666.9,5.768
29,Estonia,1855.0,5.517
30,Russia,1974.0,5.856
31,Lithuania,1885.0,5.813
32,Latvia,1902.0,5.56
33,Costa Rica,2204.65,7.087000000000001
