,LOCATION,LE_15,HAP_15
0,Australia,82.5,7.284
1,Austria,81.3,7.2
2,Belgium,81.1,6.937
3,Canada,81.9,7.4270000000000005
4,Czech Republic,78.7,6.505
5,Denmark,80.8,7.527
6,Finland,81.6,7.406000000000001
7,France,82.4,6.575
8,Germany,80.7,6.75
9,Greece,81.1,4.857
10,Hungary,75.7,4.8
11,Iceland,82.5,7.561
12,Ireland,81.5,6.94
13,Italy,82.6,5.9479999999999995
14,Japan,83.9,5.987
15,Luxembourg,82.4,6.946000000000001
16,Mexico,75.0,7.187
17,Netherlands,81.6,7.377999999999999
18,New Zealand,81.7,7.2860000000000005
19,Norway,82.4,7.522
20,Poland,77.6,5.791
21,Portugal,81.2,5.102
22,Spain,82.9,6.329
23,Sweden,82.3,7.364
24,Switzerland,83.0,7.587000000000001
25,Turkey,78.0,5.332000000000001
26,United Kingdom,81.0,6.867000000000001
27,United States,78.7,7.119
28,Brazil,74.8,6.983
29,Chile,79.9,6.67
30,Estonia,77.7,5.428999999999999
31,India,68.4,4.565
32,Indonesia,69.1,5.399
33,Israel,82.1,7.278
34,Russia,71.3,5.716
35,Slovenia,80.9,5.848
36,South Africa,57.5,4.6419999999999995
37,Latvia,74.6,5.098
38,Costa Rica,79.6,7.226
39,Lithuania,74.5,5.832999999999999
40,Colombia,76.2,6.477
