LOCATION,LE_15,HAP_15,LE_16,HAP_16,LE_17,HAP_17
Australia,82.5,7.284,82.5,7.313,,
Austria,81.3,7.2,81.7,7.119,,
Belgium,81.1,6.937,81.5,6.928999999999999,,
Canada,81.9,7.4270000000000005,,,,
Czech Republic,78.7,6.505,79.1,6.596,,
Denmark,80.8,7.527,80.9,7.526,,
Finland,81.6,7.406000000000001,81.5,7.412999999999999,,
France,82.4,6.575,,,,
Germany,80.7,6.75,81.1,6.994,,
Greece,81.1,4.857,81.5,5.033,,
Hungary,75.7,4.8,76.2,5.145,,
Iceland,82.5,7.561,82.3,7.501,,
Ireland,81.5,6.94,81.8,6.907,,
Italy,82.6,5.9479999999999995,83.3,5.977,,
Japan,83.9,5.987,84.1,5.921,,
Luxembourg,82.4,6.946000000000001,82.8,6.871,,
Mexico,75.0,7.187,75.2,6.778,75.4,6.57800006866455
Netherlands,81.6,7.377999999999999,81.6,7.3389999999999995,,
New Zealand,81.7,7.2860000000000005,81.7,7.334,,
Norway,82.4,7.522,82.5,7.497999999999999,,
Poland,77.6,5.791,78.0,5.835,,
Portugal,81.2,5.102,81.2,5.122999999999999,,
Spain,82.9,6.329,83.4,6.361000000000001,,
Sweden,82.3,7.364,82.4,7.291,,
Switzerland,83.0,7.587000000000001,83.7,7.5089999999999995,,
Turkey,78.0,5.332000000000001,78.0,5.388999999999999,,
United Kingdom,81.0,6.867000000000001,81.2,6.725,,
United States,78.7,7.119,78.6,7.104,,
Brazil,74.8,6.983,,,,
Chile,79.9,6.67,,,,
Estonia,77.7,5.428999999999999,77.8,5.517,,
India,68.4,4.565,,,,
Indonesia,69.1,5.399,,,,
Israel,82.1,7.278,82.5,7.267,,
Russia,71.3,5.716,71.8,5.856,,
Slovenia,80.9,5.848,81.3,5.768,,
South Africa,57.5,4.6419999999999995,,,,
Latvia,74.6,5.098,74.7,5.56,,
Costa Rica,79.6,7.226,,,,
Lithuania,74.5,5.832999999999999,74.8,5.813,,
Colombia,76.2,6.477,,,,
