LOCATION,AVRG_WAGE_15,HAP_15,AVRG_WAGE_16,HAP_16
Australia,49562.796191700596,7.284,49603.26665623941,7.313
Austria,49694.512067028896,7.2,50330.455224294295,7.119
Belgium,50259.1820690747,6.937,50041.0771459814,6.928999999999999
Canada,47673.3254254925,7.4270000000000005,47370.195521484806,7.404
Czech Republic,23380.7429536061,6.505,24330.753582817997,6.596
Denmark,51125.550211060196,7.527,51826.0530970321,7.526
Finland,42885.191348913104,7.406000000000001,43138.9339313619,7.412999999999999
France,42731.3134045579,6.575,43220.6120851797,6.478
Germany,46408.609565019695,6.75,47096.553204158095,6.994
Greece,26335.9459089031,4.857,26330.3677055652,5.033
Hungary,19928.838669673798,4.8,20824.5134677243,5.145
Ireland,46560.6626300175,6.94,46932.098673954504,6.907
Italy,36769.6675766841,5.9479999999999995,37032.9728706123,5.977
Japan,40003.970864263996,5.987,40680.894818312205,5.921
Luxembourg,61975.0971464396,6.946000000000001,62090.90020765019,6.871
Netherlands,53170.9604153299,7.377999999999999,53294.8852909138,7.3389999999999995
Norway,51662.668163931696,7.522,50824.869699419,7.497999999999999
Poland,24680.0727838435,5.791,25878.9078035933,5.835
Portugal,25164.4538074836,5.102,25362.348624295602,5.122999999999999
Spain,39338.9353619615,6.329,39196.0989726629,6.361000000000001
Sweden,41467.0510335515,7.364,42154.4897851354,7.291
Switzerland,62495.28284502019,7.587000000000001,62369.7478854347,7.5089999999999995
United Kingdom,43152.1720562389,6.867000000000001,43712.6196635994,6.725
United States,60691.6617126804,7.119,60685.807910929696,7.104
Mexico,15480.820731318301,7.187,15406.7507193331,6.778
Israel,33018.9879986887,7.278,34071.6082115378,7.267
Slovenia,33699.331893987,5.848,34732.377019320695,5.768
Estonia,22839.678852084,5.428999999999999,23935.433128419398,5.517
Iceland,51758.617053044596,7.561,56093.5853787221,7.501
New Zealand,38472.938949333104,7.2860000000000005,39674.4730156623,7.334
Chile,25748.0101323588,6.67,26218.877491800897,6.705
Latvia,21587.446375434,5.098,22726.2934400428,5.56
Lithuania,21416.7244683409,5.832999999999999,22562.385291953302,5.813
